Id,Year,Month,Day,VideoDuration
00114ad1-489d-47dd-a536-4b8d77283b1a,2023,4,1,01:12
0267da8d-1a84-4e46-ad72-c94fc2b89c8f,2023,4,1,01:19
00a36156-5807-4c0c-abb7-d2e931505f2f,2023,4,1,01:05
026f91a7-92cb-49bc-928d-17d2084b1517,2023,4,1,01:32
015e8561-1087-442e-a71e-43c8b6fdcd75,2023,4,1,01:12
0275a006-5bc5-4450-874b-c8cccf9c72a7,2023,4,1,01:27
03997cfd-6791-4a61-8776-86cfb65c9db1,2023,4,1,01:11
02a1fd39-2aa7-4e0a-8cf5-44beb41df9c4,2023,4,1,01:18
03a1d8ff-2e3d-4715-8f2a-ca6edd7d8d63,2023,4,1,01:15
02e65b40-9a4c-44fe-a3f2-d589e011e513,2023,4,1,01:16
03ac336b-b4ef-4f3d-9e99-f1e9acda604a,2023,4,1,01:35
03071d48-b43a-42c4-9245-b82d36306d77,2023,4,1,01:08
03f3b4b4-4f22-482e-8890-ec7ec55204f9,2023,4,1,01:36
030f2817-29f8-45d5-81d4-af2009aec761,2023,4,1,59:26
040e5a9c-bfa1-45fd-b74d-66e07adc0a03,2023,4,1,01:11
034f6768-c722-4a36-801e-1e755c5b25cc,2023,4,1,01:10
0427e74c-da04-497f-ab91-57182c74b46c,2023,4,1,01:09
035cb2c2-5409-4f10-a4fe-1420cc2645af,2023,4,1,01:15
05db61e2-cbd6-4a94-96a2-c2b83b91fddd,2023,4,1,02:43
04a9e633-a5bb-43b0-adad-35b917f2347f,2023,4,1,01:07
060ad978-b0fa-447c-b883-6f4857bc1bdb,2023,4,1,01:12
04b088b2-1e3a-4773-9930-3bea183cc6d7,2023,4,1,01:27
063e5754-39ce-4777-93cb-9dae4b3c7587,2023,4,1,01:22
05609123-3bc1-4fb0-9589-9a1330d6606b,2023,4,1,01:25
069993da-2e35-4b55-bfa9-f8b01b46fc1b,2023,4,1,59:28
0570f202-39d3-4a68-8840-d3aa177f35cd,2023,4,1,01:11
06a506f8-4f0d-427c-aa60-6c2b4c8b13d9,2023,4,1,01:37
0582a16e-f528-4e1c-901d-a44316b9521f,2023,4,1,02:13
06a89e66-3f49-48d8-b58a-40105eb887cf,2023,4,1,01:07
058403b6-084b-4cf0-a88d-b18ea0a3a69b,2023,4,1,01:26
06b90cf1-24cc-4913-85a1-8c5c13b1d994,2023,4,1,01:05
05ad7734-bc21-417e-9209-05895db9690b,2023,4,1,01:05
085395c9-52a0-4d51-ab1e-584946d6a7c4,2023,4,1,06:26
06e68cc6-2bec-4fe7-9a2c-bdfa9dcf581c,2023,4,1,02:39
087c6915-6e09-417e-afc8-4f1938012fa2,2023,4,1,01:16
07030ee7-bb5d-43bc-b229-597503416894,2023,4,1,02:29
093dc75c-ed1e-46a3-83a1-9fa0b8b168a1,2023,4,1,01:15
07091960-751b-4121-984e-f0ffd94c1a37,2023,4,1,01:33
097a12d0-3699-4eb6-819f-74a1eeee77f4,2023,4,1,01:09
072fcba2-2529-4d08-8e66-0598195caf41,2023,4,1,01:07
097cb761-635f-4a97-8daf-c55ed8f44a93,2023,4,1,02:05
07ba423b-1504-431c-9867-4f70b8c8087c,2023,4,1,01:39
09a2b5ed-c2ef-457a-ad6b-9b736d2dc450,2023,4,1,01:35
0a22dd51-c9bd-4a67-9f65-2d73fc800fbc,2023,4,1,01:14
09b77a41-7c99-4447-bc38-e2782db33b09,2023,4,1,01:05
0a2f792b-81e9-427b-9eb8-a42c9db1582e,2023,4,1,01:25
0b5fc114-fb1a-4e13-ac1d-856712bdb4bf,2023,4,1,01:15
0a3413da-99a2-4b5b-943a-1e94fb865081,2023,4,1,01:23
0ba51dcb-43e0-45e4-b1eb-eae8f4bddfc4,2023,4,1,02:27
0abc43c1-2f4c-4104-8c8a-e25bfaf322bc,2023,4,1,02:57
0be5bcab-e62c-4a9f-bc4e-124e70abe4e5,2023,4,1,01:06
0ad21843-3bd7-46d2-9e37-0edfbd08b061,2023,4,1,01:26
0bfaf064-a85e-4bf3-b662-ea44b0635bab,2023,4,1,01:47
0aeb3789-3f1a-4d4d-bf68-4fe012b09e97,2023,4,1,01:08
0c2f029d-eece-410e-8cf0-5b1b918298a2,2023,4,1,01:42
0d2e599e-4b0c-4f05-b643-2fbac8f47ef9,2023,4,1,01:09
