Country,Store,Provider,Bandwidth
Colombia,3168,BW TigoUNE,2
Colombia,3169,BW TigoUNE,12
Colombia,3170,BW TigoUNE,12
Colombia,3171,BW TigoUNE,12
Colombia,3172,BW TigoUNE,12
Colombia,3173,BW TigoUNE,12
Colombia,3174,BW TigoUNE,12
Colombia,3175,BW TigoUNE,12
Colombia,3176,BW TigoUNE,12
Colombia,3177,BW TigoUNE,0
Colombia,3178,BW TigoUNE,12
Colombia,3179,BW TigoUNE,12
Colombia,3180,BW TigoUNE,0
Colombia,3181,BW TigoUNE,12
Colombia,3182,BW TigoUNE,12
Colombia,3183,BW TigoUNE,12
Colombia,3184,BW TigoUNE,12
Colombia,3185,BW TigoUNE,12
Colombia,3186,BW TigoUNE,12
Colombia,3187,BW TigoUNE,12
Colombia,3188,BW TigoUNE,12
Colombia,3189,BW TigoUNE,12
Colombia,3190,BW TigoUNE,12
Colombia,3191,BW TigoUNE,12
Colombia,3192,BW TigoUNE,12
Colombia,3193,BW TigoUNE,12
Colombia,3194,BW TigoUNE,12
Colombia,3195,BW TigoUNE,12
Colombia,3196,BW TigoUNE,12
Colombia,3197,BW TigoUNE,12
Colombia,3198,BW TigoUNE,12
Colombia,3199,BW TigoUNE,12
Colombia,3200,BW TigoUNE,2
Colombia,3201,BW TigoUNE,2
Colombia,3202,BW TigoUNE,2
Colombia,3203,BW TigoUNE,12
Colombia,3204,BW TigoUNE,2
Colombia,3205,BW TigoUNE,2
Colombia,3206,BW TigoUNE,12
Colombia,3207,BW TigoUNE,12
Colombia,3208,BW TigoUNE,12
Colombia,3209,BW TigoUNE,12
Colombia,3210,BW TigoUNE,12
Colombia,3211,BW TigoUNE,0
Colombia,3212,BW TigoUNE,2
Colombia,3213,BW TigoUNE,2
Colombia,3214,BW TigoUNE,12
Colombia,3215,BW TigoUNE,12
Colombia,3216,BW TigoUNE,12
Colombia,3217,BW TigoUNE,12
Colombia,3218,BW TigoUNE,12
Colombia,3219,BW TigoUNE,12
Colombia,3220,BW TigoUNE,2
Colombia,3221,BW TigoUNE,2
Colombia,3222,BW TigoUNE,12
Colombia,3223,BW TigoUNE,12
Colombia,3224,BW TigoUNE,12
Colombia,3225,BW TigoUNE,2
Colombia,3226,BW TigoUNE,10
Colombia,3227,BW TigoUNE,12
Colombia,3228,BW TigoUNE,12
Colombia,3229,BW TigoUNE,12
Colombia,3230,BW TigoUNE,12
Colombia,3231,BW TigoUNE,12
Colombia,3232,BW TigoUNE,12
Colombia,3233,BW TigoUNE,12
Colombia,3234,BW TigoUNE,12
Colombia,3235,BW TigoUNE,0
Colombia,3236,BW TigoUNE,12
Colombia,3237,BW TigoUNE,2
Colombia,3238,BW TigoUNE,12
Colombia,3239,BW TigoUNE,12
Colombia,3240,BW TigoUNE,12
Colombia,3241,BW TigoUNE,12
Colombia,3242,BW TigoUNE,0
Colombia,3243,BW TigoUNE,12
Colombia,3244,BW TigoUNE,0
Colombia,3245,BW TigoUNE,0
Colombia,3246,BW TigoUNE,12
Colombia,3247,BW TigoUNE,15
Colombia,3248,BW TigoUNE,0
Colombia,3249,BW TigoUNE,12
Colombia,3250,BW TigoUNE,12
Colombia,3251,BW TigoUNE,12
Colombia,3252,BW TigoUNE,12
Colombia,3253,BW TigoUNE,0
Colombia,3254,BW TigoUNE,0
Colombia,3255,BW TigoUNE,0
Colombia,3256,BW TigoUNE,0
Colombia,3257,BW TigoUNE,0
Colombia,3258,BW TigoUNE,12
Colombia,3259,BW TigoUNE,0
Colombia,3260,BW TigoUNE,0
Colombia,3261,BW TigoUNE,0
Colombia,3262,BW TigoUNE,0
Colombia,3263,BW TigoUNE,0
Colombia,3264,BW TigoUNE,2
Colombia,3265,BW TigoUNE,0
Colombia,3266,BW TigoUNE,12
Colombia,3267,BW TigoUNE,0
Colombia,3268,BW TigoUNE,0
Colombia,3001,BW Claro,10
Colombia,3002,BW Claro,10
Colombia,3003,BW Claro,10
Colombia,3004,BW Claro,10
Colombia,3005,BW Claro,10
Colombia,3006,BW Claro,10
Colombia,3007,BW Claro,10
Colombia,3008,BW Claro,10
Colombia,3009,BW Claro,10
Colombia,3010,BW Claro,10
Colombia,3011,BW Claro,10
Colombia,3012,BW Claro,10
Colombia,3013,BW Claro,10
Colombia,3014,BW Claro,10
Colombia,3015,BW Claro,10
Colombia,3016,BW Claro,10
Colombia,3017,BW Claro,10
Colombia,3018,BW Claro,10
Colombia,3019,BW Claro,10
Colombia,3020,BW Claro,0
Colombia,3021,BW Claro,10
Colombia,3022,BW Claro,10
Colombia,3023,BW Claro,10
Colombia,3024,BW Claro,10
Colombia,3025,BW Claro,5
Colombia,3026,BW Claro,10
Colombia,3027,BW Claro,0
Colombia,3028,BW Claro,10
Colombia,3029,BW Claro,10
Colombia,3030,BW Claro,10
Colombia,3031,BW Claro,10
Colombia,3032,BW Claro,0
Colombia,3033,BW Claro,10
Colombia,3034,BW Claro,10
Colombia,3035,BW Claro,5
Colombia,3036,BW Claro,10
Colombia,3037,BW Claro,10
Colombia,3038,BW Claro,10
Colombia,3039,BW Claro,10
Colombia,3040,BW Claro,10
Colombia,3041,BW Claro,10
Colombia,3042,BW Claro,0
Colombia,3043,BW Claro,10
Colombia,3044,BW Claro,10
Colombia,3045,BW Claro,5
Colombia,3046,BW Claro,10
Colombia,3047,BW Claro,10
Colombia,3048,BW Claro,10
Colombia,3049,BW Claro,10
Colombia,3050,BW Claro,10
Colombia,3051,BW Claro,10
Colombia,3052,BW Claro,10
Colombia,3053,BW Claro,10
Colombia,3054,BW Claro,10
Colombia,3055,BW Claro,10
Colombia,3056,BW Claro,10
Colombia,3057,BW Claro,10
Colombia,3058,BW Claro,10
Colombia,3059,BW Claro,10
Colombia,3060,BW Claro,0
Colombia,3061,BW Claro,10
Colombia,3062,BW Claro,10
Colombia,3063,BW Claro,10
Colombia,3064,BW Claro,10
Colombia,3065,BW Claro,10
Colombia,3066,BW Claro,10
Colombia,3067,BW Claro,10
Colombia,3068,BW Claro,0
Colombia,3069,BW Claro,10
Colombia,3070,BW Claro,10
Colombia,3071,BW Claro,10
Colombia,3072,BW Claro,10
Colombia,3073,BW Claro,10
Colombia,3074,BW Claro,0
Colombia,3075,BW Claro,10
Colombia,3076,BW Claro,10
Colombia,3077,BW Claro,10
Colombia,3078,BW Claro,10
Colombia,3079,BW Claro,10
Colombia,3080,BW Claro,10
Colombia,3081,BW Claro,10
Colombia,3082,BW Claro,10
Colombia,3083,BW Claro,10
Colombia,3084,BW Claro,10
Colombia,3085,BW Claro,10
Colombia,3086,BW Claro,10
Colombia,3087,BW Claro,0
Colombia,3088,BW Claro,10
Colombia,3089,BW Claro,10
Colombia,3090,BW Claro,10
Colombia,3091,BW Claro,0
Colombia,3092,BW Claro,10
Colombia,3093,BW Claro,10
Colombia,3094,BW Claro,10
Colombia,3095,BW Claro,10
Colombia,3096,BW Claro,0
Colombia,3097,BW Claro,10
Colombia,3098,BW Claro,1
Colombia,3099,BW Claro,10
Colombia,3100,BW Claro,10
Colombia,3101,BW Claro,10
Colombia,3102,BW Claro,10
Colombia,3103,BW Claro,10
Colombia,3104,BW Claro,10
Colombia,3105,BW Claro,10
Colombia,3106,BW Claro,10
Colombia,3107,BW Claro,10
Colombia,3108,BW Claro,10
Colombia,3109,BW Claro,10
Colombia,3110,BW Claro,10
Colombia,3111,BW Claro,10
Colombia,3112,BW Claro,10
Colombia,3114,BW Claro,1
Colombia,3113,BW Claro,10
Colombia,3115,BW Claro,10
Colombia,3116,BW Claro,10
Colombia,3117,BW Claro,10
Colombia,3118,BW Claro,10
Colombia,3119,BW Claro,10
Colombia,3120,BW Claro,10
Colombia,3121,BW Claro,10
Colombia,3122,BW Claro,10
Colombia,3123,BW Claro,10
Colombia,3124,BW Claro,10
Colombia,3125,BW Claro,10
Colombia,3126,BW Claro,1
Colombia,3127,BW Claro,10
Colombia,3128,BW Claro,10
Colombia,3129,BW Claro,10
Colombia,3130,BW Claro,10
Colombia,3131,BW Claro,10
Colombia,3132,BW Claro,10
Colombia,3134,BW Claro,10
Colombia,3135,BW Claro,10
Colombia,3136,BW Claro,10
Colombia,3137,BW Claro,10
Colombia,3138,BW Claro,10
Colombia,3139,BW Claro,10
Colombia,3140,BW Claro,10
Colombia,3141,BW Claro,10
Colombia,3142,BW Claro,10
Colombia,3143,BW Claro,10
Colombia,3144,BW Claro,10
Colombia,3145,BW Claro,10
Colombia,3146,BW Claro,10
Colombia,3147,BW Claro,10
Colombia,3148,BW Claro,10
Colombia,3149,BW Claro,1
Colombia,3150,BW Claro,10
Colombia,3151,BW Claro,10
Colombia,3152,BW Claro,10
Colombia,3153,BW Claro,10
Colombia,3154,BW Claro,10
Colombia,3155,BW Claro,10
Colombia,3133,BW Claro,10
Colombia,3157,BW Claro,10
Colombia,3158,BW Claro,10
Colombia,3156,BW Claro,10
Colombia,3161,BW Claro,10
Colombia,3159,BW Claro,10
Colombia,3160,BW Claro,10
Colombia,3162,BW Claro,10
Colombia,3163,BW Claro,10
Colombia,3164,BW Claro,10
Colombia,3165,BW Claro,10
Colombia,3166,BW Claro,10
Colombia,3167,BW Claro,10
Colombia,3168,BW Claro,10
Colombia,3169,BW Claro,10
Colombia,3170,BW Claro,10
Colombia,3171,BW Claro,5
Colombia,3172,BW Claro,10
Colombia,3173,BW Claro,10
Colombia,3174,BW Claro,10
Colombia,3175,BW Claro,5
Colombia,3176,BW Claro,5
Colombia,3177,BW Claro,5
Colombia,3178,BW Claro,10
Colombia,3179,BW Claro,10
Colombia,3180,BW Claro,10
Colombia,3181,BW Claro,5
Colombia,3182,BW Claro,10
Colombia,3183,BW Claro,5
Colombia,3184,BW Claro,10
Colombia,3185,BW Claro,10
Colombia,3186,BW Claro,10
Colombia,3187,BW Claro,5
Colombia,3188,BW Claro,10
Colombia,3189,BW Claro,5
Colombia,3190,BW Claro,10
Colombia,3191,BW Claro,5
Colombia,3192,BW Claro,10
Colombia,3193,BW Claro,5
Colombia,3194,BW Claro,10
Colombia,3195,BW Claro,5
Colombia,3196,BW Claro,10
Colombia,3197,BW Claro,10
Colombia,3198,BW Claro,10
Colombia,3199,BW Claro,5
Colombia,3200,BW Claro,10
Colombia,3201,BW Claro,10
Colombia,3202,BW Claro,0
Colombia,3203,BW Claro,10
Colombia,3204,BW Claro,10
Colombia,3205,BW Claro,10
Colombia,3206,BW Claro,10
Colombia,3207,BW Claro,10
Colombia,3208,BW Claro,0
Colombia,3209,BW Claro,10
Colombia,3210,BW Claro,0
Colombia,3211,BW Claro,0
Colombia,3212,BW Claro,10
Colombia,3213,BW Claro,0
Colombia,3214,BW Claro,10
Colombia,3215,BW Claro,0
Colombia,3216,BW Claro,10
Colombia,3217,BW Claro,0
Colombia,3218,BW Claro,0
Colombia,3219,BW Claro,10
Colombia,3220,BW Claro,10
Colombia,3221,BW Claro,0
Colombia,3222,BW Claro,0
Colombia,3223,BW Claro,10
Colombia,3224,BW Claro,10
Colombia,3225,BW Claro,0
Colombia,3226,BW Claro,10
Colombia,3227,BW Claro,10
Colombia,3228,BW Claro,10
Colombia,3229,BW Claro,0
Colombia,3230,BW Claro,0
Colombia,3231,BW Claro,0
Colombia,3232,BW Claro,0
Colombia,3233,BW Claro,0
Colombia,3234,BW Claro,0
Colombia,3235,BW Claro,10
Colombia,3236,BW Claro,10
Colombia,3237,BW Claro,0
Colombia,3238,BW Claro,0
Colombia,3239,BW Claro,0
Colombia,3240,BW Claro,0
Colombia,3241,BW Claro,0
Colombia,3242,BW Claro,0
Colombia,3243,BW Claro,0
Colombia,3244,BW Claro,0
Colombia,3245,BW Claro,0
Colombia,3246,BW Claro,0
Colombia,3247,BW Claro,0
Colombia,3248,BW Claro,0
Colombia,3249,BW Claro,0
Colombia,3250,BW Claro,0
Colombia,3251,BW Claro,0
Colombia,3252,BW Claro,0
Colombia,3253,BW Claro,10
Colombia,3254,BW Claro,0
Colombia,3255,BW Claro,0
Colombia,3256,BW Claro,0
Colombia,3257,BW Claro,0
Colombia,3258,BW Claro,0
Colombia,3259,BW Claro,0
Colombia,3260,BW Claro,0
Colombia,3261,BW Claro,0
Colombia,3262,BW Claro,0
Colombia,3263,BW Claro,0
Colombia,3264,BW Claro,0
Colombia,3265,BW Claro,0
Colombia,3266,BW Claro,0
