Country,Store,Bandwidth 
El Salvador,2050,10
El Salvador,2051,10
El Salvador,2048,10
El Salvador,2045,10
El Salvador,2052,10
El Salvador,2053,10
El Salvador,2054,10
El Salvador,2055,10
El Salvador,2056,10
El Salvador,2033,10
El Salvador,2057,10
El Salvador,2059,10
El Salvador,2058,10
El Salvador,2060,10
El Salvador,2061,10
El Salvador,2062,10
El Salvador,2063,10
El Salvador,2064,10
El Salvador,2065,10
El Salvador,2066,10
Guatemala,2201,10
Guatemala,2202,10
Guatemala,2203,10
Guatemala,2204,1
Guatemala,2205,1
Guatemala,2206,10
Guatemala,2207,10
Guatemala,2208,10
Guatemala,2209,10
Guatemala,2210,10
Guatemala,2211,10
Guatemala,2212,10
Guatemala,2213,10
Guatemala,2214,10
Guatemala,2215,1
Guatemala,2216,10
Guatemala,2217,10
Guatemala,2218,10
Guatemala,2219,10
Guatemala,2220,1
Guatemala,2221,10
Guatemala,2222,10
Guatemala,2223,10
Guatemala,2224,10
Guatemala,2225,10
Guatemala,2226,1
Guatemala,2227,10
Guatemala,2228,10
Guatemala,2229,1
Guatemala,2230,1
Guatemala,2231,10
Guatemala,2232,10
Guatemala,2233,10
Guatemala,2234,10
Guatemala,2235,10
Guatemala,2236,1
Guatemala,2237,10
Guatemala,2238,10
Guatemala,2239,10
Guatemala,2240,10
Guatemala,2241,10
Guatemala,2242,10
Guatemala,2243,10
Guatemala,2244,10
Guatemala,2245,10
Guatemala,2246,10
Guatemala,2247,10
Guatemala,2248,10
Guatemala,2252,10
Guatemala,2253,10
Guatemala,2254,10
Guatemala,2255,10
Guatemala,2256,10
Guatemala,2249,10
Guatemala,2250,10
Guatemala,2257,10
Guatemala,2251,10
Guatemala,2259,10
Guatemala,2261,10
Guatemala,2262,10
Guatemala,2258,10
Guatemala,2260,10
Guatemala,2263,10
Guatemala,2264,10
Guatemala,2265,10
Guatemala,2266,1
Guatemala,2267,10
Guatemala,2268,10
Guatemala,2269,10
Guatemala,2270,10
Guatemala,2271,10
Guatemala,2272,10
Guatemala,2273,5
Guatemala,2274,10
Guatemala,2275,10
Guatemala,2276,10
Guatemala,2277,10
Guatemala,2278,0
Guatemala,2279,10
Guatemala,2280,10
Guatemala,2281,10
Guatemala,2282,10
Guatemala,2283,10
Guatemala,2284,10
Guatemala,2285,10
Guatemala,2286,10
Guatemala,2287,0
Guatemala,2288,0
Guatemala,2289,0
Guatemala,2290,10
Guatemala,2291,10
Peru,4001,12
Peru,4002,12
Peru,4003,12
Peru,4004,12
Peru,4005,10
Peru,4006,12
Peru,4007,12
Peru,4008,12
Peru,4009,12
Peru,4010,10
Peru,4011,12
Peru,4012,12
Peru,4013,12
Peru,4014,12
Peru,4015,10
Peru,4016,10
Peru,4017,10
Peru,4018,10
Peru,4019,10
Peru,4020,10
Peru,4021,0
Peru,4022,10
Peru,4023,0
Peru,4024,0
